mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,id,mz.cont,source
516.0634341,516.0631104,516.0639648,1288.77,1279.26,1303.87,10903812.91,10903789.41,921326.4375,921325,87,-516.0634341,psn
894.2068912,894.2046509,894.2075806,1295.47,1290.44,1307.26,4586059.26,4584316.033,886170.375,573,88,-894.2068912,psn
500.0900665,500.0887756,500.0909424,1288.21,1279.82,1305,8636857.109,8635312.111,873459.125,823,89,-500.0900665,psn
232.0955878,232.0953522,232.0957489,1291.56,1291,1350.83,3641737.482,3639028.09,835217.125,394,90,-232.0955878,psn
345.1780496,345.1775208,345.1784058,1307.83,1270.21,1307.83,4331115.059,4299204.646,834453.75,70,91,-345.1780496,psn
450.110491,450.1098633,450.1111145,1293.24,1263.42,1333.3,19001813.48,15870459.94,815158.1875,25,92,-450.110491,psn
456.2464917,456.2461853,456.2472229,1298.26,1291,1310.09,4333049.526,4330679.463,809889.0625,489,93,-456.2464917,psn
994.6573129,994.6543579,994.6583252,1299.94,1295.47,1305,3423631.005,3423622.036,808162.375,808161,94,-994.6573129,psn
881.3107211,881.3094482,881.3125,1289.33,1284.86,1293.79,3336198.022,3336190.208,808151.8125,808151,95,-881.3107211,psn
572.3440547,572.3435059,572.3446655,1288.21,1275.87,1311.22,12428216.17,12341730.41,790534.0625,106,96,-572.3440547,psn
134.0342735,134.0342255,134.0343323,1292.12,1280.95,1308.39,6336088.428,6330706.564,789540.375,289,97,-134.0342735,psn
100.0403719,100.0403214,100.0404282,1290.44,1274.74,1307.26,10919325.88,10406575.09,785416.1875,55,98,-100.0403719,psn
187.1085893,187.1085052,187.1086884,1291,1278.13,1297.7,5083515.847,5070465.737,781978.0625,127,99,-187.1085893,psn
115.0034269,115.0033722,115.0035553,1293.24,1280.95,1310.66,8248838.132,8212963.408,758465.8125,180,100,-115.0034269,psn
456.1656238,456.1650085,456.1670532,1297.7,1245.31,1376.21,16355652,16313027.01,758344.9375,233,101,-456.1656238,psn
832.1401546,832.1387939,832.1408691,1298.82,1293.79,1306.13,4220248.028,4220236.249,720119.625,720119,102,-832.1401546,psn
333.0590544,333.0584106,333.0596924,1288.21,1240.22,1306.69,8005194.642,7782127.119,683614.125,33,103,-333.0590544,psn
875.1760099,875.1745605,875.1773071,1300.5,1293.79,1308.39,4079769.093,4079756.177,680699.4375,680698,104,-875.1760099,psn
687.1070515,687.1063232,687.1088257,1298.26,1293.24,1305,3714477.773,3714467.133,673873.75,673873,105,-687.1070515,psn
337.0629758,337.0626221,337.0631714,1287.65,1278.7,1306.69,8435426.906,8424514.811,672261.25,141,106,-337.0629758,psn
598.3601367,598.3591309,598.3608398,1289.33,1269.64,1321.4,12484551.77,12180805.31,661826.5625,64,107,-598.3601367,psn
271.0934223,271.0932312,271.0937195,1301.06,1295.47,1304.43,3137062.176,3137053.776,633701.875,633701,108,-271.0934223,psn
888.188701,888.1870117,888.1899414,1300.5,1294.91,1308.39,3734675.368,3734663.011,607404.9375,607404,109,-888.188701,psn
86.02469,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,-86.02469,bgn
87.00343,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,-87.00343,bgn
87.00867,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,-87.00867,bgn
87.04507,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,-87.04507,bgn
88.01205,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,-88.01205,bgn
88.04032,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,-88.04032,bgn
89.02437,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,-89.02437,bgn
90.01876,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,-90.01876,bgn
90.02772,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,-90.02772,bgn
91.05041,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,-91.05041,bgn
92.03252,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,-92.03252,bgn
93.0345,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-93.0345,bgn
94.02978,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,-94.02978,bgn
94.98056,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,-94.98056,bgn
95.02504,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,-95.02504,bgn
95.98015,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,-95.98015,bgn
96.9764,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,-96.9764,bgn
97.1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,-97.1843,bgn
98.0247,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,-98.0247,bgn
99.00797,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,-99.00797,bgn
99.01997,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,-99.01997,bgn
100.04037,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,-100.04037,bgn
101.00628,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,-101.00628,bgn
101.02429,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,-101.02429,bgn
101.06069,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,-101.06069,bgn
102.02006,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,-102.02006,bgn
103.03999,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,-103.03999,bgn
105.01917,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,-105.01917,bgn
108.04543,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,-108.04543,bgn
109.02929,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,-109.02929,bgn
109.04053,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,-109.04053,bgn
110.03587,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,-110.03587,bgn
111.01982,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,-111.01982,bgn
112.04024,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,-112.04024,bgn
112.98545,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,-112.98545,bgn
113.02427,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,-113.02427,bgn
113.03553,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,-113.03553,bgn
113.98874,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,-113.98874,bgn
114.01943,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,-114.01943,bgn
114.05585,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,-114.05585,bgn
115.03989,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,-115.03989,bgn
115.05112,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,-115.05112,bgn
115.07627,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,-115.07627,bgn
116.03591,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,-116.03591,bgn
116.07154,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,-116.07154,bgn
116.07965,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,-116.07965,bgn
116.92839,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,-116.92839,bgn
117.00118,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,-117.00118,bgn
117.01918,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,-117.01918,bgn
117.05557,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,-117.05557,bgn
118.05084,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,-118.05084,bgn
119.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,-119.0168,bgn
119.03478,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,-119.03478,bgn
120.0179,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,-120.0179,bgn
121.01363,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,-121.01363,bgn
121.02934,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,-121.02934,bgn
122.02458,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,-122.02458,bgn
122.03272,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,-122.03272,bgn
123.01176,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,-123.01176,bgn
125.03549,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,-125.03549,bgn
127.00114,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,-127.00114,bgn
129.05563,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,-129.05563,bgn
129.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,-129.092,bgn
130.08719,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,-130.08719,bgn
130.99242,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,-130.99242,bgn
